Email_ID,Date,Time,Month,Year,Day_of_Week,Fraud_Category,Sub_Technique,Risk_Level,Target_Victim,Sender_Email,Subject,Message,Amount_Bait,Label
FRAUD_01726,2023-01-08,20:19:00,January,2023,Sunday,Lottery Fraud,Advance Fee,High,Working Professionals,claims@united-nations-lottery.org,"Claim your prize of £500,000 now","CONGRATULATIONS! Your email address was randomly selected as the GRAND PRIZE WINNER of the Euro Millions International Online Lottery held on 2023-01-08. You have won the sum of USD $1,000,000 (One Million United States Dollars). Your Reference Number is: EML-2025-WIN-88421. To claim your prize, contact our claims agent Mr. David Williams at: claims@euromillions-claim.com with your full name, address, phone number, occupation, and bank account details. A processing fee of $150 is required to release your winnings.","$450,000",Fraud/Spam
FRAUD_01785,2023-01-09,19:29:13,January,2023,Monday,Lottery Fraud,Advance Fee,High,Working Professionals,claims@united-nations-lottery.org,"Congratulations! You have won $1,000,000","MICROSOFT CORPORATION LOTTERY NOTIFICATION: Microsoft is awarding $500,000 to 20 lucky email users worldwide as part of its annual promotional lottery on 2023-01-09. Your email was among those selected. Ref: MSL-2025-0934. To claim your prize, contact: notify@microsoft-lottery-winner.net with your personal details and bank information. A legal processing fee of $75 is required. Congratulations from the Microsoft Team!","$750,000",Fraud/Spam
FRAUD_01131,2023-01-09,00:21:07,January,2023,Monday,Lottery Fraud,Prize Notification,Medium,Working Professionals,claims@united-nations-lottery.org,"Claim your prize of £500,000 now","Dear Lucky Winner! The WhatsApp Lottery Board is pleased to notify you that your WhatsApp number was selected as one of the 10 lucky winners in our 2025 Annual Draw. Prize Amount: $250,000 USD. To claim, send the following to winner@whatsapp-lottery-2025.com: Full Name, Age, Country, Occupation, Phone Number, and Bank Details. A tax clearance fee of $100 must be paid before funds are released.","$400,000",Fraud/Spam
FRAUD_00214,2023-01-09,03:46:43,January,2023,Monday,Phishing,Urgency Tactics,High,Email Account,noreply@hdfc-secure.net,Urgent: Verify your bank account now,"Your Amazon account shows a new order of Rs. 45,999 placed on 2023-01-09 from an unrecognized device. If you did not place this order, your account may be compromised. Cancel this order and secure your account immediately at: http://amazon-account-secure.net. Provide your email, password and OTP to verify.","$200,000",Fraud/Spam
FRAUD_02530,2023-01-10,12:08:36,January,2023,Tuesday,Job Offer Scam,Urgency Tactics,High,Working Professionals,hr@part-time-earning.com,"Work from home and earn Rs. 50,000/month","Dear Candidate, We are pleased to inform you that you have been selected for a Work-From-Home Data Entry position with our company. Salary: Rs. 45,000/month. Working Hours: 2-3 hours/day. No prior experience required. You only need a smartphone or laptop and internet connection. To confirm your position, a one-time registration fee of Rs. 500 is required. After registration, tasks and training materials will be provided. Contact: hr@work-from-home-jobs.net","Rs. 310,000",Fraud/Spam
FRAUD_00580,2023-01-10,03:55:40,January,2023,Tuesday,Phishing,Account Suspension Threat,High,Bank Account,support@axisbank-alert.net,Google Account: Sign-in attempt blocked,"Your PayPal account has been limited due to unusual activity detected on 2023-01-10. To restore full access to your account, please verify your information at: http://paypa1-secure-account.com. You will need to provide your full name, date of birth, billing address, and credit card details. Failure to verify within 48 hours will result in permanent account suspension.","$850,000",Fraud/Spam
FRAUD_00868,2023-01-10,20:43:46,January,2023,Tuesday,Phishing,Urgency Tactics,Critical,Wallet,security@paypa1-alert.com,Action required: Unusual login detected,"Your PayPal account has been limited due to unusual activity detected on 2023-01-10. To restore full access to your account, please verify your information at: http://paypa1-secure-account.com. You will need to provide your full name, date of birth, billing address, and credit card details. Failure to verify within 48 hours will result in permanent account suspension.","$250,000",Fraud/Spam
FRAUD_01713,2023-01-11,19:21:56,January,2023,Wednesday,Lottery Fraud,Brand Impersonation,Medium,Working Professionals,prize@whatsapp-lottery-2025.com,RBI Approved Lottery: Claim your prize,"Dear Lucky Winner! The WhatsApp Lottery Board is pleased to notify you that your WhatsApp number was selected as one of the 10 lucky winners in our 2025 Annual Draw. Prize Amount: $250,000 USD. To claim, send the following to winner@whatsapp-lottery-2025.com: Full Name, Age, Country, Occupation, Phone Number, and Bank Details. A tax clearance fee of $100 must be paid before funds are released.","$700,000",Fraud/Spam
FRAUD_00349,2023-01-11,12:18:20,January,2023,Wednesday,Phishing,Account Suspension Threat,Critical,Wallet,support@apple-id-verify.com,Immediate action required on your account,"ICICI Bank Alert: An unusual transaction of Rs. 28,500 was attempted on your account on 2023-01-11. If this was not authorized by you, please immediately secure your account at: http://icici-secure-banking.net. Enter your Customer ID, password and debit card details to block this transaction and protect your account.","$700,000",Fraud/Spam
FRAUD_00644,2023-01-11,06:56:54,January,2023,Wednesday,Phishing,Account Suspension Threat,Critical,Streaming Account,security@paytm-verify.org,Urgent: Verify your bank account now,"Netflix Account Notice: We were unable to process your payment for this month's subscription. Your account will be suspended within 24 hours unless you update your payment information. Please update your billing details at: http://netflix-billing-update.net. Enter your email, password and new card details to continue enjoying Netflix.","$800,000",Fraud/Spam
FRAUD_00924,2023-01-11,06:46:09,January,2023,Wednesday,Phishing,Urgency Tactics,Critical,Email Account,support@apple-id-verify.com,Netflix: Payment failed - Update details,"Your Amazon account shows a new order of Rs. 45,999 placed on 2023-01-11 from an unrecognized device. If you did not place this order, your account may be compromised. Cancel this order and secure your account immediately at: http://amazon-account-secure.net. Provide your email, password and OTP to verify.","$950,000",Fraud/Spam
FRAUD_01970,2023-01-11,20:20:51,January,2023,Wednesday,Lottery Fraud,Prize Notification,Medium,General Public,winner@coca-cola-promo.net,You have won the Coca-Cola Lucky Draw!,"OFFICIAL NOTIFICATION: We are pleased to inform you that your email address has won £500,000 in the UK National Lottery Online Promotional Draw conducted on 2023-01-11. Ticket Number: UKL-2025-4892. Batch Number: 14/25/0302. To begin your claim process, please contact the claims department at claims@uk-national-lottery.biz. You are required to pay a release fee of £200 to process your winnings. This offer expires in 7 days.","$800,000",Fraud/Spam
FRAUD_03641,2023-01-12,21:21:51,January,2023,Thursday,Bank Fraud,KYC Fraud,High,Rural Customers,alerts@union-bank-kyc.org,Kotak Bank: Verify your account immediately,"AXIS BANK SECURITY ALERT: We have detected multiple failed login attempts on your NetBanking account on 2023-01-12. As a security measure, your NetBanking access has been suspended. To restore access, please verify your account at: http://axisbank-netbanking-restore.com. You will need your Customer ID, Password, Debit Card number and OTP. If you do not restore access within 48 hours, your account will be permanently blocked.","Rs. 410,000",Fraud/Spam
FRAUD_04581,2023-01-12,05:16:51,January,2023,Thursday,Investment Scam,Fake SEBI Registration,Critical,Retired Persons,trade@forex-daily-profit.org,Exclusive MLM opportunity: Earn Rs. 5 lakh/month,"REAL ESTATE QUICK PROFIT SCHEME: Invest in our upcoming township project and get 200% returns in just 6 months. How: We purchase distressed properties at 50% below market value, renovate and sell at full price. You share in the profit. Minimum investment: Rs. 2,00,000. Expected returns: Rs. 6,00,000 in 180 days. Government approved project. Legal documents available. 500 investors already enrolled. Limited slots remaining. Book your slot by 2023-01-12: trade@real-estate-quick.net","Rs. 270,000",Fraud/Spam
FRAUD_03350,2023-01-12,12:13:41,January,2023,Thursday,Bank Fraud,RBI Impersonation,Critical,Senior Citizens,noreply@hdfc-account-verify.biz,ICICI Bank: Large transaction alert on your account,"URGENT NOTICE FROM RBI: The Reserve Bank of India has issued a directive for all bank account holders to complete Video KYC by 2023-01-12. Non-compliance will result in immediate account freeze and restriction of all banking services. To complete your Video KYC, provide your Aadhaar, PAN and bank account details at: http://rbi-videokyc-portal.net. This is mandatory for all account holders as per RBI Circular No. RBI/2025/KYC/112.","Rs. 440,000",Fraud/Spam
FRAUD_01247,2023-01-12,06:44:43,January,2023,Thursday,Lottery Fraud,Brand Impersonation,High,Senior Citizens,claims@united-nations-lottery.org,RBI Approved Lottery: Claim your prize,"COCA-COLA COMPANY LUCKY DRAW: You have been selected as a winner in the Coca-Cola International Lucky Draw promotion. Prize: $100,000 + A brand new car. Reference: CCL-2025-WIN. To claim, email winner@coca-cola-promo.net with your full name, address, age, phone number and bank account details. A refundable processing fee of $120 is required. Claim within 72 hours to avoid forfeiture.","$550,000",Fraud/Spam
FRAUD_02932,2023-01-13,20:25:24,January,2023,Friday,Job Offer Scam,Urgency Tactics,High,Unemployed,careers@tcs-wfh-hiring.org,Amazon is hiring work-from-home employees,"GOOGLE INDIA REMOTE HIRING: Google is recruiting Work-From-Home Customer Support Executives. Salary: Rs. 55,000/month + Rs. 10,000 performance bonus. Requirements: Graduate, Basic English, Internet connection. Joining: Immediate. Registration fee: Rs. 2,000 (adjusted in first salary). Send your resume to hiring@google-remote-jobs.net. Interview will be conducted via WhatsApp. Offer expires 2023-01-13.","Rs. 90,000",Fraud/Spam
FRAUD_02872,2023-01-13,07:04:12,January,2023,Friday,Job Offer Scam,Advance Fee,High,Students,hr@infosys-remote-2025.com,Google remote job: Apply now,"AMAZON INDIA is urgently hiring Work-From-Home Order Processing Executives. Salary: Rs. 25,000 to Rs. 60,000/month. Eligibility: 10th Pass. Age: 18-45. Job Role: Process online orders, update records, pack and ship items from your home. Registration fee: Rs. 1,500 (fully refundable after 30 days). Offer valid till 2023-01-13. Apply immediately at jobs@amazon-home-workers.biz to secure your position.","Rs. 170,000",Fraud/Spam
FRAUD_00396,2023-01-13,12:35:39,January,2023,Friday,Phishing,Urgency Tactics,Critical,Email Account,security@kotakbank-verify.biz,Immediate action required on your account,"Your PayPal account has been limited due to unusual activity detected on 2023-01-13. To restore full access to your account, please verify your information at: http://paypa1-secure-account.com. You will need to provide your full name, date of birth, billing address, and credit card details. Failure to verify within 48 hours will result in permanent account suspension.","$150,000",Fraud/Spam
FRAUD_01406,2023-01-13,08:08:04,January,2023,Friday,Lottery Fraud,Brand Impersonation,High,General Public,claims@uk-national-lottery.biz,Your email won our international lottery,"Dear Lucky Winner! The WhatsApp Lottery Board is pleased to notify you that your WhatsApp number was selected as one of the 10 lucky winners in our 2025 Annual Draw. Prize Amount: $250,000 USD. To claim, send the following to winner@whatsapp-lottery-2025.com: Full Name, Age, Country, Occupation, Phone Number, and Bank Details. A tax clearance fee of $100 must be paid before funds are released.","$150,000",Fraud/Spam
FRAUD_03946,2023-01-13,03:47:39,January,2023,Friday,Bank Fraud,RBI Impersonation,Critical,Rural Customers,alerts@union-bank-kyc.org,Account freeze notice: Immediate action required,"Dear ICICI Bank Customer, A transaction of Rs. 1,24,000 has been initiated from your account (XXXX7823) on 2023-01-13 to an unknown beneficiary. If you did not authorize this transaction, please block it immediately by calling us at our fake helpline or visiting: http://icici-transaction-block.net. Enter your account number, ATM PIN and OTP to block this transaction. Act within 30 minutes before funds are transferred.","Rs. 220,000",Fraud/Spam
FRAUD_01076,2023-01-13,06:36:59,January,2023,Friday,Lottery Fraud,Brand Impersonation,Medium,Working Professionals,winner@coca-cola-promo.net,United Nations Lottery: You have been selected,"COCA-COLA COMPANY LUCKY DRAW: You have been selected as a winner in the Coca-Cola International Lucky Draw promotion. Prize: $100,000 + A brand new car. Reference: CCL-2025-WIN. To claim, email winner@coca-cola-promo.net with your full name, address, age, phone number and bank account details. A refundable processing fee of $120 is required. Claim within 72 hours to avoid forfeiture.","$750,000",Fraud/Spam
FRAUD_00672,2023-01-13,22:05:03,January,2023,Friday,Phishing,Urgency Tactics,Critical,Bank Account,security@kotakbank-verify.biz,HDFC Bank: Update your KYC immediately,"Netflix Account Notice: We were unable to process your payment for this month's subscription. Your account will be suspended within 24 hours unless you update your payment information. Please update your billing details at: http://netflix-billing-update.net. Enter your email, password and new card details to continue enjoying Netflix.","$500,000",Fraud/Spam
FRAUD_02989,2023-01-14,20:03:14,January,2023,Saturday,Job Offer Scam,Urgency Tactics,Medium,Working Professionals,hr@part-time-earning.com,Data entry jobs: Earn Rs. 800/hour,"ONLINE EARNING OPPORTUNITY: Like and Subscribe YouTube videos and earn Rs. 200 per video. Work only 1-2 hours per day and earn Rs. 2,000 to Rs. 5,000 daily. No experience or qualifications required. Payment directly to your bank account daily. To start, pay a joining fee of Rs. 999 to activate your account. After payment, you will receive 50 videos daily to like. Contact: careers@youtube-like-jobs.net","Rs. 310,000",Fraud/Spam
FRAUD_03760,2023-01-14,05:13:54,January,2023,Saturday,Bank Fraud,RBI Impersonation,Critical,Rural Customers,noreply@bob-account-alert.com,HDFC: Your debit card is blocked,"URGENT NOTICE FROM RBI: The Reserve Bank of India has issued a directive for all bank account holders to complete Video KYC by 2023-01-14. Non-compliance will result in immediate account freeze and restriction of all banking services. To complete your Video KYC, provide your Aadhaar, PAN and bank account details at: http://rbi-videokyc-portal.net. This is mandatory for all account holders as per RBI Circular No. RBI/2025/KYC/112.","Rs. 440,000",Fraud/Spam
FRAUD_02439,2023-01-14,13:55:52,January,2023,Saturday,Job Offer Scam,Too Good To Be True Salary,Medium,Working Professionals,careers@youtube-like-jobs.net,Data entry jobs: Earn Rs. 800/hour,"AMAZON INDIA is urgently hiring Work-From-Home Order Processing Executives. Salary: Rs. 25,000 to Rs. 60,000/month. Eligibility: 10th Pass. Age: 18-45. Job Role: Process online orders, update records, pack and ship items from your home. Registration fee: Rs. 1,500 (fully refundable after 30 days). Offer valid till 2023-01-14. Apply immediately at jobs@amazon-home-workers.biz to secure your position.","Rs. 250,000",Fraud/Spam
FRAUD_01803,2023-01-14,06:18:58,January,2023,Saturday,Lottery Fraud,Advance Fee,Medium,Senior Citizens,notify@intl-sweepstakes-2025.org,WhatsApp Lottery 2025: You are a winner!,"MICROSOFT CORPORATION LOTTERY NOTIFICATION: Microsoft is awarding $500,000 to 20 lucky email users worldwide as part of its annual promotional lottery on 2023-01-14. Your email was among those selected. Ref: MSL-2025-0934. To claim your prize, contact: notify@microsoft-lottery-winner.net with your personal details and bank information. A legal processing fee of $75 is required. Congratulations from the Microsoft Team!","$950,000",Fraud/Spam
FRAUD_03320,2023-01-15,03:00:13,January,2023,Sunday,Bank Fraud,Fake Transaction Alert,High,Senior Citizens,security@yes-bank-verify.biz,RBI Directive: Update KYC within 24 hours,"URGENT NOTICE FROM RBI: The Reserve Bank of India has issued a directive for all bank account holders to complete Video KYC by 2023-01-15. Non-compliance will result in immediate account freeze and restriction of all banking services. To complete your Video KYC, provide your Aadhaar, PAN and bank account details at: http://rbi-videokyc-portal.net. This is mandatory for all account holders as per RBI Circular No. RBI/2025/KYC/112.","Rs. 450,000",Fraud/Spam
